Date,Player team,Opponent,Map,K - D,#ERROR!,Rating3.0
23/8/25,VP.Prodigy (16),NOVAQ (13),nuke,24 - 19,5,1.35
23/8/25,VP.Prodigy (16),NOVAQ (12),d2,13 - 16,-3,1.11
23/8/25,VP.Prodigy (13),NOVAQ (10),trn,21 - 15,6,1.68
23/8/25,VP.Prodigy (16),Flame Sharks (12),nuke,21 - 21,0,1.00
23/8/25,VP.Prodigy (13),Flame Sharks (11),trn,19 - 14,5,1.13
17/8/25,VP.Prodigy (13),UNiTY (6),ovp,12 - 13,-1,1.12
17/8/25,VP.Prodigy (3),UNiTY (13),trn,7 - 15,-8,0.70
17/8/25,VP.Prodigy (13),UNiTY (6),anc,7 - 11,-4,0.73
14/8/25,VP.Prodigy (13),K27 (7),nuke,12 - 10,2,1.18
14/8/25,VP.Prodigy (13),K27 (11),anc,23 - 14,9,1.55
8/8/25,VP.Prodigy (13),Hesta (6),d2,12 - 12,0,01.06
8/8/25,VP.Prodigy (9),Hesta (13),trn,10 - 15,-5,0.83
8/8/25,VP.Prodigy (13),Hesta (10),mrg,16 - 14,2,1.18
3/8/25,VP.Prodigy (10),ECSTATIC (13),trn,23 - 15,8,1.51
3/8/25,VP.Prodigy (10),ECSTATIC (13),anc,14 - 15,-1,1.11
3/8/25,VP.Prodigy (13),ECSTATIC (6),nuke,14 - 11,3,1.42
2/8/25,VP.Prodigy (13),FUT (5),anc,11 - 12,-1,1.00
2/8/25,VP.Prodigy (13),FUT (6),d2,15 - 12,3,1.13
1/8/25,VP.Prodigy (16),Liquid (14),nuke,19 - 18,1,1.26
1/8/25,VP.Prodigy (2),Liquid (13),mrg,5 - 14,-9,0.55
1/8/25,VP.Prodigy (13),Liquid (7),d2,19 - 10,9,1.52
31/7/25,VP.Prodigy (9),MANA (13),mrg,14 - 18,-4,0.84
31/7/25,VP.Prodigy (10),MANA (13),anc,16 - 15,1,0.99
31/7/25,VP.Prodigy (16),MANA (13),nuke,33 - 15,18,02.01
30/7/25,VP.Prodigy (13),Northern Lights (6),d2,13 - 8,5,01.02
30/7/25,VP.Prodigy (19),Northern Lights (15),anc,18 - 22,-4,0.87
20/7/25,VP.Prodigy (25),ex-NAVI Junior (21),nuke,30 - 25,5,01.09
20/7/25,VP.Prodigy (13),Leo (10),trn,15 - 14,1,1.15
30/3/25,VP.Prodigy (5),ALLINNERS (13),nuke,8 - 12,-4,0.78
30/3/25,VP.Prodigy (16),ALLINNERS (14),anb,15 - 19,-4,0.82
30/3/25,VP.Prodigy (6),ALLINNERS (13),anc,13 - 16,-3,01.03
30/3/25,VP.Prodigy (8),ALLINNERS (13),d2,15 - 13,2,01.02
30/3/25,VP.Prodigy (13),ALLINNERS (10),mrg,19 - 15,4,1.44
