Date,Event,Opponent,Map,Result,W/L
30/08/25,BLAST Open London 2025,G2,Mirage,13 - 10,W
30/08/25,BLAST Open London 2025,G2,Ancient,13 - 10,W
28/08/25,BLAST Open London 2025,Imperial,Nuke,13 - 7,W
28/08/25,BLAST Open London 2025,Imperial,Mirage,13 - 4,W
28/08/25,BLAST Open London 2025,Imperial,Overpass,2 - 13,L
22/08/25,Esports World Cup 2025,Falcons,Nuke,10 - 13,L
22/08/25,Esports World Cup 2025,Falcons,Inferno,13 - 8,W
22/08/25,Esports World Cup 2025,Falcons,Ancient,9 - 13,L
21/08/25,Esports World Cup 2025,Virtus.pro,Overpass,13 - 10,W
21/08/25,Esports World Cup 2025,Virtus.pro,Mirage,13 - 4,W
21/08/25,Esports World Cup 2025,Virtus.pro,Inferno,6 - 13,L
16/08/25,BLAST Bounty 2025 Season 2 Finals,Spirit,Mirage,5 - 13,L
16/08/25,BLAST Bounty 2025 Season 2 Finals,Spirit,Ancient,14 - 16,L
14/08/25,BLAST Bounty 2025 Season 2 Finals,Astralis,Mirage,13 - 4,W
14/08/25,BLAST Bounty 2025 Season 2 Finals,Astralis,Nuke,13 - 8,W
10/08/25,BLAST Bounty 2025 Season 2,B8,Train,13 - 11,W
10/08/25,BLAST Bounty 2025 Season 2,B8,Ancient,13 - 5,W
07/08/25,BLAST Bounty 2025 Season 2,OG,Mirage,13 - 5,W
07/08/25,BLAST Bounty 2025 Season 2,OG,Inferno,13 - 1,W
07/08/25,BLAST Bounty 2025 Season 2,OG,Nuke,9 - 13,L
03/08/25,IEM Cologne 2025,Spirit,Nuke,6 - 13,L
03/08/25,IEM Cologne 2025,Spirit,Ancient,11 - 13,L
03/08/25,IEM Cologne 2025,Spirit,Mirage,7 - 13,L
02/08/25,IEM Cologne 2025,Vitality,Train,13 - 8,W
02/08/25,IEM Cologne 2025,Vitality,Mirage,13 - 9,W
01/08/25,IEM Cologne 2025,FURIA,Inferno,13 - 11,W
01/08/25,IEM Cologne 2025,FURIA,Mirage,10 - 13,L
01/08/25,IEM Cologne 2025,FURIA,Train,19 - 16,W
29/07/25,IEM Cologne 2025,Spirit,Overpass,6 - 13,L
29/07/25,IEM Cologne 2025,Spirit,Mirage,22 - 19,W
29/07/25,IEM Cologne 2025,Spirit,Ancient,13 - 16,L
28/07/25,IEM Cologne 2025,Natus Vincere,Nuke,13 - 10,W
28/07/25,IEM Cologne 2025,Natus Vincere,Mirage,13 - 10,W
27/07/25,IEM Cologne 2025,Liquid,Train,13 - 9,W
27/07/25,IEM Cologne 2025,Liquid,Inferno,13 - 7,W
21/06/25,BLAST.tv Austin Major 2025,Vitality,Train,6 - 13,L
21/06/25,BLAST.tv Austin Major 2025,Vitality,Inferno,13 - 4,W
21/06/25,BLAST.tv Austin Major 2025,Vitality,Mirage,8 - 13,L
