Date,Player team,Opponent,Map,K - D,#ERROR!,Rating3.0
29/8/25,G2 Ares (13),BIG Academy (9),mrg,13 - 18,-5,0.93
29/8/25,G2 Ares (8),BIG Academy (13),trn,8 - 16,-8,0.62
29/8/25,G2 Ares (13),BIG Academy (11),inf,21 - 15,6,1.53
28/8/25,G2 Ares (13),Sangal Academy (5),anc,13 - 8,5,1.15
28/8/25,G2 Ares (13),Sangal Academy (3),d2,9 - 9,0,0.88
27/8/25,G2 Ares (13),Aurora Young Blud (10),ovp,10 - 14,-4,0.92
27/8/25,G2 Ares (13),Aurora Young Blud (9),mrg,24 - 13,11,1.82
20/8/25,G2 Ares (9),BIG Academy (13),mrg,8 - 13,-5,0.64
20/8/25,G2 Ares (13),BIG Academy (4),inf,7 - 9,-2,0.85
20/8/25,G2 Ares (10),BIG Academy (13),ovp,13 - 16,-3,0.93
18/8/25,G2 Ares (13),Sangal Academy (3),anc,9 - 8,1,0.95
18/8/25,G2 Ares (13),Sangal Academy (4),d2,11 - 9,2,1.14
17/8/25,G2 Ares (10),EYEBALLERS (13),trn,14 - 16,-2,0.86
17/8/25,G2 Ares (7),EYEBALLERS (13),inf,5 - 16,-11,0.50
17/8/25,G2 Ares (16),EYEBALLERS (14),mrg,19 - 22,-3,01.09
10/8/25,G2 Ares (6),Eternal Fire (13),ovp,13 - 15,-2,01.07
10/8/25,G2 Ares (10),Eternal Fire (13),d2,10 - 16,-6,0.63
6/8/25,G2 Ares (7),K27 (13),d2,7 - 12,-5,0.64
6/8/25,G2 Ares (6),K27 (13),anc,9 - 13,-4,0.71
4/8/25,G2 Ares (13),fish123 (5),d2,8 - 10,-2,0.99
4/8/25,G2 Ares (7),fish123 (13),anc,10 - 16,-6,0.56
4/8/25,G2 Ares (13),fish123 (5),inf,12 - 9,3,1.58
3/8/25,G2 Ares (13),MASONIC (4),trn,18 - 7,11,1.63
3/8/25,G2 Ares (13),MASONIC (6),anc,13 - 12,1,01.07
2/8/25,G2 Ares (13),GenOne (5),inf,10 - 8,2,1.30
2/8/25,G2 Ares (13),GenOne (7),anc,16 - 11,5,01.07
1/8/25,G2 Ares (13),Prestige (4),anc,15 - 9,6,1.43
1/8/25,G2 Ares (11),Prestige (13),trn,20 - 18,2,01.01
1/8/25,G2 Ares (13),Prestige (11),inf,15 - 11,4,1.12
31/7/25,G2 Ares (0),fish123 (13),d2,6 - 12,-6,0.64
31/7/25,G2 Ares (10),fish123 (13),anc,17 - 13,4,01.08
31/7/25,G2 Ares (13),fish123 (3),inf,17 - 7,10,1.73
29/7/25,G2 Ares (13),MANA (6),anc,15 - 13,2,01.05
29/7/25,G2 Ares (13),MANA (9),d2,17 - 13,4,1.28
6/6/25,G2 Ares (8),Wildcard Academy (13),anc,10 - 16,-6,0.82
6/6/25,G2 Ares (4),Wildcard Academy (13),mrg,9 - 14,-5,0.84
6/6/25,G2 Ares (13),Wildcard Academy (6),d2,12 - 13,-1,1.10
4/6/25,G2 Ares (13),ex-Astralis Talent (10),anb,10 - 16,-6,0.82
4/6/25,G2 Ares (16),ex-Astralis Talent (13),trn,24 - 18,6,1.12
2/6/25,G2 Ares (13),Volt (10),anb,7 - 16,-9,0.62
2/6/25,G2 Ares (13),Volt (8),mrg,16 - 14,2,1.12
31/5/25,G2 Ares (13),RUSH B (5),anb,9 - 12,-3,0.77
31/5/25,G2 Ares (13),RUSH B (8),inf,17 - 12,5,1.33
31/5/25,G2 Ares (13),Young Ninjas (8),mrg,18 - 9,9,1.20
31/5/25,G2 Ares (13),Young Ninjas (9),anc,16 - 15,1,1.27
31/5/25,G2 Ares (13),Viperio (8),inf,14 - 13,1,01.07
31/5/25,G2 Ares (13),Viperio (10),d2,20 - 14,6,1.68
31/5/25,G2 Ares (9),Viperio (13),trn,11 - 18,-7,01.02
30/5/25,G2 Ares (19),Nexus (16),anb,31 - 23,8,1.30
30/5/25,G2 Ares (8),Nexus (13),inf,23 - 15,8,1.85
30/5/25,G2 Ares (13),Nexus (10),d2,19 - 10,9,1.48
13/5/25,G2 Ares (6),HEROIC Academy (13),d2,11 - 15,-4,0.92
13/5/25,G2 Ares (13),HEROIC Academy (6),anc,13 - 10,3,1.43
13/5/25,G2 Ares (10),HEROIC Academy (13),trn,8 - 16,-8,0.61
12/5/25,G2 Ares (9),CPH Wolves (13),anc,13 - 16,-3,0.92
12/5/25,G2 Ares (7),CPH Wolves (13),anb,12 - 12,0,1.21
12/5/25,G2 Ares (13),CPH Wolves (4),mrg,9 - 8,1,1.23
10/5/25,G2 Ares (13),Preasy (9),inf,12 - 14,-2,1.29
10/5/25,G2 Ares (16),Preasy (12),anb,19 - 21,-2,01.06
7/5/25,G2 Ares (7),Young Ninjas (13),trn,14 - 16,-2,0.85
7/5/25,G2 Ares (6),Young Ninjas (13),d2,9 - 17,-8,0.62
7/5/25,G2 Ares (19),Young Ninjas (17),anc,23 - 24,-1,01.05
16/11/24,G2 Ares (9),FLuffy Gangsters (13),mrg,17 - 14,3,1.14
16/11/24,G2 Ares (13),FLuffy Gangsters (9),anb,15 - 13,2,01.01
16/11/24,G2 Ares (5),FLuffy Gangsters (13),anc,7 - 16,-9,0.59
13/11/24,G2 Ares (13),Daystar (10),anb,10 - 15,-5,0.93
13/11/24,G2 Ares (3),Daystar (13),anc,7 - 13,-6,0.67
13/11/24,G2 Ares (13),Daystar (5),mrg,16 - 12,4,1.66
6/10/24,G2 Ares (9),TSM (13),mrg,13 - 16,-3,0.84
6/10/24,G2 Ares (5),TSM (13),d2,4 - 15,-11,0.66
4/10/24,G2 Ares (13),Permitta (9),vtg,18 - 16,2,1.41
4/10/24,G2 Ares (13),Permitta (11),inf,12 - 13,-1,0.83
2/10/24,G2 Ares (3),CYBERSHOKE (13),anc,4 - 14,-10,0.43
2/10/24,G2 Ares (8),CYBERSHOKE (13),inf,8 - 15,-7,0.71
1/10/24,G2 Ares (10),Metizport (13),anc,11 - 15,-4,0.81
1/10/24,G2 Ares (13),Metizport (10),inf,14 - 13,1,1.22
1/10/24,G2 Ares (5),Metizport (13),mrg,7 - 14,-7,0.71
29/9/24,G2 Ares (13),CPH Wolves (5),anc,10 - 12,-2,0.71
29/9/24,G2 Ares (6),CPH Wolves (13),anb,8 - 15,-7,0.50
29/9/24,G2 Ares (13),CPH Wolves (9),inf,20 - 12,8,1.46
27/9/24,G2 Ares (13),Nexus (11),anb,11 - 17,-6,0.54
27/9/24,G2 Ares (13),Nexus (6),d2,10 - 12,-2,0.72
26/9/24,G2 Ares (10),EYEBALLERS (13),anc,12 - 12,0,0.94
26/9/24,G2 Ares (13),EYEBALLERS (9),anb,20 - 13,7,1.63
1/8/24,G2 Ares (10),fnatic (13),mrg,13 - 18,-5,0.70
1/8/24,G2 Ares (7),fnatic (13),inf,10 - 11,-1,0.82
30/7/24,G2 Ares (3),Nemiga (13),anc,10 - 15,-5,0.60
30/7/24,G2 Ares (9),Nemiga (13),inf,11 - 15,-4,01.06
25/12/23,TRAFFIC Tashkent (13),STORM (11),nuke,16 - 14,2,1.28
